id,name,type,age,year,sector,genre,land,Produktionsfirma,Regie
francr,Friends & Crocodiles,2,16,2005,1,2,UK,BBC One,Stephen Poliakoff
merlin,Merlin,2,21,2010,2,2,UK,BBC One,Ashley Way
juwi,Just William,2,21,2010,2,9,UK,BBC One,Paul Seed
gala,Garrows Law,2,22,2011,2,2,UK,Twenty Twenty,Bryn Higgins
thmu,The Musketeers,2,27,2016,2,2,UK,BBC One,Susan Tully
thlociofz,The Lost City of Z,2,27,2016,1,2,US,Paramount Pictures,James Gray
edison,Edison,2,28,2017,1,2,US,The Weinstein Company,Alfonso Gomez-Rejon
thbaofbusc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Ethan Coen
thbaofbuscc,The Ballad of Buster Scruggs,2,29,2018,1,2,US,Mike Zoss Productions,Joel Coen
trautmann,Trautmann,2,29,2018,1,2,UK,Lieblingsfilm,Marcus H. Rosenmüller
wafothba,Waiting for the Barbarians,2,30,2019,1,2,US,Constantin Film,Ciro Guerra
thwaofthwo,The War of the Worlds,2,30,2019,2,1,UK,Mammoth Screen,Craig Viveiros
hidama,His Dark Materials,2,30,2019,2,5,UK,BBC One,Otto Bathurst
tholgu,The Old Guard,2,31,2020,1,1,US,Skydance,Gina Prince-Bythewood
thdealthti,The Devil All the Time,2,31,2020,1,3,US,Bronx Moving Co.,Antonio Campos
sayopr,Say Your Prayers,2,31,2020,1,6,UK,Gravitas Ventures,Harry Michell
thquga,The Queen´s Gambit,2,31,2020,2,2,US,Netflix,Scott Frank 
thtrofma,The Tragedy of Macbeth,2,32,2021,1,2,US,A24,Joel Coen
plbapl,Please Baby Please,2,33,2022,1,9,US,Rivulet Media,Amanda Kramer
thpabley,The Pale Blue Eye,2,33,2022,1,3,US,Cross Creek Pictures,Scott Cooper
hame,Harry Melling,,,,7,,,,
stpo,Stephen Poliakoff,,,,8,,,,
mabi,Matt Birch,,,,8,,,,
aswa,Ashley Way,,,,8,,,,
pase,Paul Seed,,,,8,,,,
brhi,Bryn Higgins,,,,8,,,,
sutu,Susan Tully,,,,8,,,,
jagr,James Gray,,,,8,,,,
algore,Alfonso Gomez-Rejon,,,,8,,,,
etco,Ethan Coen,,,,8,,,,
joco,Joel Coen,,,,8,,,,
mahro,Marcus H. Rosenmüller,,,,8,,,,
cigu,Ciro Guerra,,,,8,,,,
crvi,Craig Viveiros,,,,8,,,,
otba,Otto Bathurst,,,,8,,,,
giprby,Gina Prince-Bythewood,,,,8,,,,
anca,Antonio Campos,,,,8,,,,
hami,Harry Michell,,,,8,,,,
scfr,Scott Frank,,,,8,,,,
amkr,Amanda Kramer,,,,8,,,,
scco,Scott Cooper,,,,8,,,,
elar,Electronic Arts,,,,9,,,,
twtw,Twenty Twenty,,,,9,,,,
thweco,The Weinstein Company,,,,9,,,,
mizopr,Mike Zoss Productions,,,,9,,,,
lieblingsfilm,Lieblingsfilm,,,,9,,,,
cofi,Constantin Film,,,,9,,,,
mammoth,Mammoth Screen,,,,9,,,,
skydance,Skydance,,,,9,,,,
brmoco,Bronx Moving Co.,,,,9,,,,
grve,Gravitas Ventures,,,,9,,,,
a24,A24,,,,9,,,,
rime,Rivulet Media,,,,9,,,,
crcrpi,Cross Creek Pictures,,,,9,,,,
japh,James Phelps,1,1,1986,7,,UK,,
amiey,A Mind´s Eye,2,23,2009,1,7,UK,Heraclitus Pictures,Joanna Callaghan
kingdom,Kingdom,2,23,2009,2,6,UK,Parallel Film and Television,Simon Wheeler
wath,Ward three,2,26,2012,1,4,UK,Met Film School,Saad Abbas
thtu,The Turn,2,26,2012,1,2,UK,Superfilm Productions,Christian Krohn
siwi,Silent Witness,2,29,2015,2,2,UK,British Broadcasting Corporation,Timothy Prager
daanthhuzo,Danny and the Human Zoo,2,29,2015,1,2,UK,British Broadcasting Corporation,Destiny Ekaragha
patchwork,Patchwork,2,29,2015,1,6,US,Infinite Lives Entertainment,Tyler Maclntyre
seda,Seven Days,2,33,2019,1,7,UK,Pixel Revolution Films,Dominic Higgins
cadia,Cadia,2,33,2019,1,5,US,Just a Skosh Productions,Cedric Gegel
laniinso,Last Night in Soho,2,35,2021,1,2,UK,Focus Features International,Edgar Wright
nonono,Normal not Normal,2,36,2022,6,7,UK,Stabl,Alice Homewood
joca,Joanna Callaghan,1,,,8,,,,
siwh,Simon Wheeler,1,,,8,,,,
saab,Saad Abbas,1,,,8,,,,
chkr,Christian Krohn,1,,,8,,,,
tipr,Timothy Prager,1,,,8,,,,
deek,Destiny Ekaragha,1,,,8,,,,
tyma,Tyler Maclntyre,1,,,8,,,,
dohi,Dominic Higgins,1,,,8,,,,
cege,Cedric Gegel,1,,,8,,,,
edwr,Edgar Wright,1,,,8,,,,
alho,Alice Homewood,1,,,8,,,,
hepi,Heraclitus Pictures,2,,,9,,,,
pafiante,Parallel Film and Television,2,,,9,,,,
mefisc,Met Film School,2,,,9,,,,
supr,Superfilm Productions,2,,,9,,,,
bbc,British Broadcasting Corporation,2,,,9,,,,
inlien,Infinite Lives Entertainment,2,,,9,,,,
pire,Pixel Revolution Films,2,,,9,,,,
juaskpr,Just a Skosh Productions,2,,,9,,,,
fofein,Focus Features International,2,,,9,,,,
stabl,Stabl,2,,,9,,,,
rugr,Rupert Grint,1,1,1988,7,,UK,,
thunderpants,Thunderpants,2,14,2002,1,6,UK,Mission Pictures,Peter Hewitt
drle,Driving Lessons,2,18,2006,1,6,UK,UK Film Council,Jermey Brock
cherrybomb,Cherrybomb,2,21,2009,1,3,UK,Generation Entertainment,Lisa Barros DSa
wita,Wild Target,2,22,2010,1,1,UK,Magic Light Productions,Jonathan Lynn
coflwime,Come Fly With me,2,23,2011,2,6,UK,Little Britian Productions,Paul King
intowh,Into the White,2,24,2012,1,1,NOR,Film Fund FUZZ,Petter Naess
amda,American Dad,2,24,2012,2,8,US,20th Century Fox,Seth MacFarlane
lalechc,Lang lebe Charly C,2,25,2013,1,2,US,Voltage Pictures,Frederik Bond
cbgb,CBGB,2,25,2013,1,2,US,Unclaimed Freight Productions,Randall Miller
sucl,Super Clyde,2,25,2013,1,8,US,CBS Entertainment,Michael Fresco
popa,Postman Pat,2,25,2013,1,8,UK,Rubicon Group Holding,Mike Disa
moonwalkers,Moonwalkers,2,27,2015,1,6,FR,Will Vinton,Antoine Bardou Jacquet
snatch,Snatch,2,29,2017,2,1,UK,Exile Entertainment Double Dare You,Guy Ritchie
sino,Sick Note,2,30,2018,2,6,UK,BBC,Matt Lipsey
dimodeheab,Die Morde des Herrn ABC,2,30,2018,2,3,UK,Columbia Pictures,Frank Tashlin
servant,Servant,2,35,2023,2,4,US,King Bert Productions,M Night Shymalan
gudetocaofcu,Gullimero del Toros Cabinet of Curiosities,2,34,2022,2,4,US,Metro Goldwyn Mayer,Jennifer Kent
knthca,Knock the Cabin,2,35,2023,1,4,US,Blinding Edge Pictures,M Night Shymalan
leho,Lego House,2,23,2011,5,2,US,Warner Music Group,Shane Ramirez
habipepa,Happy Bithday Peter Pan,2,17,2005,2,7,UK,Diverse Productions,Roy Ackerman
fussball,Fussball,2,25,2013,1,8,ARG,100 Bares,Juan Jose Campanella
enofma,Enemy of man,2,26,2014,1,2,UK,Universal Studios,Vincent Regan
trulsh,Tracey Ullmans Show,2,28,2016,2,6,UK,Hell Kite Films,Jamie Dooner
urmy,Urban Myths,2,29,2017,2,6,UK,Sky Arts,Ben Palmer
mipi,Mission Pictures,2,,,9,,,,
ukfico,UK Film Council,2,,,9,,,,
geen,Generation Entertainment,2,,,9,,,,
malipr,Magic Light Productions,2,,,9,,,,
fifufu,Film Fund FUZZ,2,,,9,,,,
20cefo,20th Century Fox,2,,,9,,,,
vopi,Voltage Pictures,2,,,9,,,,
unfrpr,Unclaimed Freight Productions,2,,,9,,,,
rugrho,Rubicon Group Holding,2,,,9,,,,
wivi,Will Vinton,2,,,9,,,,
exendodayo,Exile Entertainment Double Dare You,2,,,9,,,,
kibepr,King Bert Productions,2,,,9,,,,
bledpi,Blinding Edge Pictures,2,,,9,,,,
dipr,Diverse Productions,2,,,9,,,,
100ba,100 Bares,2,,,9,,,,
unst,Universal Studios,2,,,9,,,,
hekifi,Hell Kite Films,2,,,9,,,,
skar,Sky Arts,2,,,9,,,,
pehe,Peter Hewitt,1,,,8,,,,
jebr,Jeremy Brock,1,,,8,,,,
libads,Lisa Barros DSa,1,,,8,,,,
joly,Jonathan Lynn,1,,,8,,,,
paki,Paul King,1,,,8,,,,
pena,Petter Naess,1,,,8,,,,
sema,Seth MacFarlane,1,,,8,,,,
frbo,Frederik Bond,1,,,8,,,,
rami,Randall Miller,1,,,8,,,,
mifr,Michael Fresco,1,,,8,,,,
midi,Mike Disa,1,,,8,,,,
anba,Antoine Bardou Jacquet,1,,,8,,,,
guri,Guy Ritchie,1,,,8,,,,
mali,Matt Lipsey,1,,,8,,,,
frta,Frank Tashlin,1,,,8,,,,
mnish,M Night Shymalan,1,,,8,,,,
jeke,Jennifer Kent,1,,,8,,,,
shra,Shane Ramirez,1,,,8,,,,
roac,Roy Ackerman,1,,,8,,,,
jujoca,Juan Jose Campanella,1,,,8,,,,
vire,Vincent Regan,1,,,8,,,,
jado,Jamie Dooner,1,,,8,,,,
bepa,Ben Palmer,1,,,8,,,,
thplwhiwr,The Play What I Wrote,2,39,2001,4,6,UK,Wyndhams Theatre,Kenneth Branagh
spider,Spider,2,40,2002,1,3,US,Sony Pictures Classics,David Cronenberg
dedivomoca,Der Dieb von Monte Carlo,2,40,2002,1,2,US,Fox,Neil Jordan
rodr,Roter Drache,2,40,2002,1,4,US,Universal Pictures,Brett Ratner
malost,Manhatten Love Story,2,40,2002,1,6,US,Columbia Pictures,Kenneth Branagh
thtacu,The Talking Cure,2,41,2003,4,2,UK,Royal National Theatre,Howard Davies
brand,Brand,2,41,2003,4,2,UK,The Royal Shakespeare Company,Adrian Noble
liki,Libertys Kids,2,40,2002,2,8,US,PBS,Judith Reilly
likitwo,Libertys Kids,2,41,2003,2,8,US,PBS,Judith Reilly
frahiofus,Freedom A History of US,2,41,2003,2,7,US,PBS,Philip Kunhardt III
tedatodd,Ten Days to DDay,2,42,2004,1,2,US,AandEs History Channel,Marion Milne
thchglinkldo,The Chumscrubber Glueck in kleinen Dosen,2,43,2005,1,2,US,Picturehouse,Arie Posin
chromophobia,Chromophobia,2,43,2005,1,2,CAN,Momentum Pictures,Martha Fiennes
deewga,Der ewige Gaertner,2,43,2005,1,2,US,Focus Features,Fernando Meirelles
